gen	Guild	Trophic Mode
Hyaloscyphaceae	Plant Saprotroph-Wood Saprotroph	Saprotroph
Hydnangiaceae	Ectomycorrhizal	Symbiotroph
Hydnellum	Ectomycorrhizal	Symbiotroph
Hydnobolites	Ectomycorrhizal	Symbiotroph
Hygrocybe	Undefined Saprotroph-Undefined Symbiotroph	Saprotroph-Symbiotroph
Hygrophoraceae	Ectomycorrhizal-Undefined Saprotroph	Saprotroph-Symbiotroph
Hygrophorus	Ectomycorrhizal	Symbiotroph
Hymenochaetaceae	Ectomycorrhizal-Wood Saprotroph	Saprotroph-Symbiotroph
Hypomyces	Fungal Parasite	Pathotroph
Hysterangium	Ectomycorrhizal	Symbiotroph
Ilyonectria	Plant Pathogen	Pathotroph
Inocybaceae	Ectomycorrhizal	Symbiotroph
Inocybe	Ectomycorrhizal	Symbiotroph
Isaria	Animal Pathogen	Pathotroph
Kluyveromyces	Endophyte-Undefined Saprotroph	Saprotroph-Symbiotroph
Kockovaella	Epiphyte	Symbiotroph
Laccaria	Ectomycorrhizal	Symbiotroph
Lactarius	Ectomycorrhizal	Symbiotroph
Lasiosphaeriaceae	Undefined Saprotroph	Saprotroph
Lentinus	Wood Saprotroph	Saprotroph
Leotia	Undefined Saprotroph	Saprotroph
Lepiota	Soil Saprotroph	Saprotroph
Leptosphaeria	Plant Pathogen	Pathotroph
Lobosporangium	Undefined Saprotroph	Saprotroph
Lophiostoma	Undefined Saprotroph	Saprotroph
Madurella	Animal Pathogen	Pathotroph
Magnaporthaceae	Plant Pathogen	Pathotroph
Magnaporthe	Plant Pathogen	Pathotroph
Malassezia	Animal Pathogen-Undefined Saprotroph	Pathotroph-Saprotroph
Marasmiaceae	Endophyte-Plant Pathogen-Undefined Saprotroph	Pathotroph-Saprotroph-Symbiotroph
Marasmius	Endophyte-Plant Pathogen-Undefined Saprotroph	Pathotroph-Saprotroph-Symbiotroph
Marssonina	Plant Pathogen	Pathotroph
Melampsora	Plant Pathogen	Pathotroph
Melanommataceae	Wood Saprotroph	Saprotroph
Membranomyces	Ectomycorrhizal	Symbiotroph
Metarhizium	Animal Pathogen	Pathotroph
Moesziomyces	Plant Pathogen	Pathotroph
Mortierella	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Saprotroph-Symbiotroph
Mycena	Leaf Saprotroph-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph	Pathotroph-Saprotroph
Mycosphaerellaceae	Plant Pathogen-Undefined Saprotroph	Pathotroph-Saprotroph
Neofusicoccum	Plant Pathogen	Pathotroph
Neonectria	Plant Pathogen	Pathotroph
Neurospora	Undefined Saprotroph	Saprotroph
Oidiodendron	Ericoid Mycorrhizal	Pathotroph-Symbiotroph
Oliveonia	Undefined Saprotroph	Saprotroph
Omphalotaceae	Wood Saprotroph	Saprotroph
Onygenaceae	Dung Saprotroph-Soil Saprotroph	Saprotroph
Ophiocordyceps	Endophyte-Insect Pathogen	Pathotroph-Symbiotroph
Ophiosphaerella	Undefined Saprotroph	Saprotroph
Paracoccidioides	Undefined Saprotroph	Saprotroph
Penicillium	Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph	Saprotroph
Pestalotiopsis	Plant Pathogen	Pathotroph
Pezicula	Endophyte-Plant Pathogen-Undefined Saprotroph	Pathotroph-Saprotroph
Phaeoacremonium	Plant Pathogen	Pathotroph
Phaeosphaeria	Undefined Saprotroph	Saprotroph
Phaeosphaeriaceae	Fungal Parasite-Plant Pathogen-Plant Saprotroph	Pathotroph-Saprotroph
Phaeothecoidea	Undefined Saprotroph	Saprotroph
Phanerochaete	Wood Saprotroph	Saprotroph
Phialocephala	Endophyte	Symbiotroph
Phycomyces	Undefined Saprotroph	Saprotroph
Physalacriaceae	Algal Parasite--Leaf Saprotroph-Wood Saprotroph	Pathotroph-Saprotroph
Pichia	Animal Endosymbiont-Animal Pathogen-Plant Pathogen-Undefined Saprotroph	Pathotroph-Saprotroph-Symbiotroph
Pilidium	Plant Pathogen	Pathotroph
Piloderma	Ectomycorrhizal	Symbiotroph
Piptocephalis	Fungal Parasite	Pathotroph
Plectania	Undefined Saprotroph	Saprotroph
Pleurotus	Endophyte-Plant Pathogen-Wood Saprotroph	Pathotroph-Saprotroph
Pneumocystis	Animal Pathogen	Pathotroph
Pochonia	Animal Pathogen	Pathotroph
Polyporus	Wood Saprotroph	Saprotroph
Postia	Wood Saprotroph	Saprotroph
Psathyrella	Wood Saprotroph	Saprotroph
Psathyrellaceae	Dung Saprotroph-Plant Saprotroph-Wood Saprotroph	Saprotroph
Pseudeurotiaceae	Plant Saprotroph-Wood Saprotroph	Saprotroph
Pseudocercospora	Plant Pathogen	Pathotroph
Pseudocraterellus	Ectomycorrhizal	Symbiotroph
Pucciniaceae	Plant Pathogen	Pathotroph
Punctularia	Undefined Saprotroph	Saprotroph
Purpureocillium	Fungal Parasite	Pathotroph
Pyrenophora	Plant Pathogen	Pathotroph
Pyricularia	Plant Pathogen	Pathotroph
Pyronema	Undefined Saprotroph	Saprotroph
Ramicandelaber	Undefined Saprotroph	Saprotroph
Rasamsonia	Undefined Saprotroph	Saprotroph
Rhizophlyctis	Undefined Saprotroph	Saprotroph
Rhizopogon	Ectomycorrhizal	Symbiotroph
Rhizosphaera	Plant Pathogen	Pathotroph
Rhodocollybia	Undefined Saprotroph	Saprotroph
Rhodotorula	Animal Endosymbiont-Animal Pathogen-Endophyte-Plant Pathogen-Undefined Saprotroph	Pathotroph-Saprotroph
Ripartites	Undefined Saprotroph	Saprotroph
Russula	Ectomycorrhizal	Symbiotroph
Russulaceae	Ectomycorrhizal	Symbiotroph
Saccharomyces	Undefined Saprotroph	Saprotroph
Sagenomella	Undefined Saprotroph	Saprotroph
Sarcodon	Ectomycorrhizal	Symbiotroph
Scedosporium	Undefined Saprotroph	Saprotroph
Scheffersomyces	Animal Endosymbiont-Undefined Saprotroph	Saprotroph-Symbiotroph
Schizosaccharomyces	Undefined Saprotroph	Saprotroph
Schizothecium	Dung Saprotroph	Saprotroph
Scleroderma	Ectomycorrhizal	Symbiotroph
Sclerotinia	Plant Pathogen	Pathotroph
Sebacinaceae	Ectomycorrhizal	Symbiotroph
Serendipita	Orchid Mycorrhizal	Symbiotroph
Serpula	Wood Saprotroph	Saprotroph
Setosphaeria	Endophyte-Plant Pathogen	Pathotroph-Symbiotroph
Sordaria	Dung Saprotroph-Wood Saprotroph	Saprotroph
Sordariaceae	Dung Saprotroph-Plant Saprotroph	Saprotroph
Sphaerulina	Lichenized	Symbiotroph
Spizellomyces	Plant Pathogen-Undefined Parasite-Undefined Saprotroph	Pathotroph-Saprotroph
Sporisorium	Plant Pathogen	Pathotroph
Stagonospora	Plant Pathogen	Pathotroph
Stephanosporaceae	Plant Saprotroph-Wood Saprotroph	Saprotroph
Stereum	Undefined Saprotroph	Saprotroph
Strobilomyces	Ectomycorrhizal	Symbiotroph
Syzygospora	Fungal Parasite-Lichen Parasite	Pathotroph
Talaromyces	Undefined Saprotroph	Saprotroph
Tarzetta	Ectomycorrhizal	Symbiotroph
