geographical control by environmental,geographical control by vegetation,environmental control by geographical,vegetation control by geographical,environmental control by vegetation,vegetation control by environmental
0.071,0.183,0.256,-0.046,0.303,-0.044
0.13,0.155,0.192,0.156,0.156,0.175
0.043,0.087,0.113,0.001,0.136,0.005
0.085,0.164,0.19,-0.016,0.235,-0.005
