"P6S2T2"	"P2S1T2"	"P3S1T3"	"P5S1T3"	"P6S2T3"	"P3S1T2"	"P1S2T3"	"P3S2T2"	"P5S2T1"	"P3S2T1"	"P2S1T1"	"P3S2T3"	"P5S2T2"	"P1S1T1"	"P4S1T3"	"P2S1T3"	"P4S1T1"	"P5S2T3"	"P1S1T2"	"P4S2T1"	"P2S2T1"	"P4S1T2"	"P6S1T2"	"P1S1T3"	"P4S2T3"	"P2S2T2"	"P4S2T2"	"P6S1T3"	"P1S2T1"	"P6S1T1"	"P2S2T3"	"P5S1T1"	"P6S2T1"	"P1S2T2"	"P3S1T1"	"P5S1T2"
"121627"	2664	3675	3940	3821	3152	3916	4059	5244	3413	3628	2640	5094	7241	3517	3158	3232	4714	3588	3688	4196	3172	4401	2850	4388	4428	3571	3904	3120	3876	2441	3942	3189	3240	3437	5635	3690
"1047171"	4136	5543	4779	5236	4101	5655	5469	5039	4495	5140	4247	5492	5110	4680	5027	4967	5816	4691	4443	5619	4927	5289	4418	5572	6130	5669	5305	4842	5654	4048	5604	4761	4619	5089	4466	4972
"122368"	2627	4030	3279	4009	2961	3989	4278	3840	3030	3513	2822	4324	3821	3369	3352	3235	4556	3166	3285	4147	2849	4689	2877	4180	5289	3495	3924	3014	3826	2481	3631	3128	2980	3328	2963	3294
"33169"	5692	7421	6348	7188	5688	7471	7008	6741	6608	6643	5599	6796	6412	6413	6171	7353	7202	5975	5942	7070	6810	6744	5825	7008	7391	7252	7174	6272	7858	5362	7552	6315	5922	6883	6107	6434
"45285"	294	388	263	439	307	384	376	345	314	332	257	342	418	384	342	362	376	315	367	398	276	373	341	351	421	371	342	326	431	293	439	256	275	317	287	334
"45286"	366	417	353	470	477	418	473	350	340	483	287	442	478	414	430	427	403	309	501	538	365	450	451	504	511	395	420	341	641	375	481	397	397	426	352	453
"381046"	1235	1682	1470	1601	1196	1628	1370	1404	1463	1480	1274	1387	1307	1402	1380	1715	1490	1316	1240	1494	1508	1405	1178	1380	1515	1556	1609	1343	1544	1155	1689	1339	1299	1396	1380	1546
"1080349"	459	505	390	532	484	589	520	476	473	466	384	527	556	478	445	496	556	440	532	525	442	480	489	564	554	486	540	486	603	423	533	405	404	547	448	438
"4932"	328	361	260	372	345	450	478	326	337	353	212	442	422	371	355	256	374	280	390	395	301	395	380	439	416	339	360	254	459	289	437	260	299	342	282	332
"27291"	300	306	206	354	287	385	314	303	226	304	177	336	297	292	268	270	314	230	362	330	228	360	284	319	375	231	270	240	367	209	333	213	228	260	219	270
