SampleID	prop_conif	prop_latif	prop_Abies	prop_Pinus	prop_Salix	prop_Arbutus	prop_Quercus	prop_Alnus	prop_Juniperus	prop_Prunus	total_mean_DAP	total_mean_Altura	total_mean_CopaNS	total_mean_distanciacopas	total_mean_diamcopa	total_mean_coberturacopa	total_mean_areabasal	mean_DAP_Abies	mean_DAP_Pinus	mean_DAP_Salix	mean_DAP_Arbutus	mean_DAP_Quercus	mean_DAP_Alnus	mean_DAP_Juniperus	mean_DAP_Prunus	mean_Altura_Abies	mean_Altura_Pinus	mean_Altura_Salix	mean_Altura_Arbutus	mean_Altura_Quercus	mean_Altura_Alnus	mean_Altura_Juniperus	mean_Altura_Prunus	mean_CopaNS_Abies	mean_CopaNS_Pinus	mean_CopaNS_Salix	mean_CopaNS_Arbutus	mean_CopaNS_Quercus	mean_CopaNS_Alnus	mean_CopaNS_Juniperus	mean_CopaNS_Prunus	mean_distanciacopas_Abies	mean_distanciacopas_Pinus	mean_distanciacopas_Salix	mean_distanciacopas_Arbutus	mean_distanciacopas_Quercus	mean_distanciacopas_Alnus	mean_distanciacopas_Juniperus	mean_distanciacopas_Prunus	mean_diamcopa_Abies	mean_diamcopa_Pinus	mean_diamcopa_Salix	mean_diamcopa_Arbutus	mean_diamcopa_Quercus	mean_diamcopa_Alnus	mean_diamcopa_Juniperus	mean_diamcopa_Prunus	mean_coberturacopa_Abies	mean_coberturacopa_Pinus	mean_coberturacopa_Salix	mean_coberturacopa_Arbutus	mean_coberturacopa_Quercus	mean_coberturacopa_Alnus	mean_coberturacopa_Juniperus	mean_coberturacopa_Prunus	mean_areabasal_Abies	mean_areabasal_Pinus	mean_areabasal_Salix	mean_areabasal_Arbutus	mean_areabasal_Quercus	mean_areabasal_Alnus	mean_areabasal_Juniperus	mean_areabasal_Prunus
P5S1T1	100	0	88.89	11.11	0	0	0	0	0	0	0.35744444444444445	29.166666666666668	6.027777777777778	12.157777777777778	6.078888888888889	30.60047991	0.136388637	0.35	0.44	0	0	0	0	0	0	29.94	23	0	0	0	0	0	0	5.97	6.5	0	0	0	0	0	0	12.09	12.7	0	0	0	0	0	0	6.04	6.35	0	0	0	0	0	0	30.47	31.67	0	0	0	0	0	0	0.13	0.15	0	0	0	0	0	0
P5S1T2	50	50	33.33	16.67	0	0	38.89	0	0	11.11	0.24494444444444444	25.52777777777778	5.2572222222222225	10.845555555555556	5.422777777777778	25.7032622	0.06537927036666667	0.24	0.4	0	0	0.23	0	0	0.09	26.58	32	0	0	25.57	0	0	12.5	5.4	5.83	0	0	4.78	0	0	5.62	11.4	12.6	0	0	9.66	0	0	10.7	5.7	6.3	0	0	4.83	0	0	5.35	29.73	31.9	0	0	20.5	0	0	22.55	0.05	0.16	0	0	0.05	0	0	0.01
P5S1T3	0	100	0	0	0	0	53.85	0	0	46.15	0.26276923076923075	20.46153846153846	6.069230769230769	11.865384615384615	5.9326923076923075	31.29075135576923	0.08956870763076923	0	0	0	0	0.38	0	0	0.13	0	0	0	0	24.71	0	0	15.5	0	0	0	0	7.36	0	0	4.57	0	0	0	0	13.86	0	0	9.53	0	0	0	0	6.93	0	0	4.77	0	0	0	0	42.49	0	0	18.23	0	0	0	0	0.15	0	0	0.01
P5S2T1	8.33	91.67	0	8.33	0	25	66.67	0	0	0	0.2295	16.791666666666668	5.425	11.175	5.5875	31.412809312500002	0.0648824176	0	0.75	0	0.13	0.2	0	0	0	0	36	0	12	16.19	0	0	0	0	12.3	0	4.2	5.03	0	0	0	0	25.8	0	8	10.54	0	0	0	0	12.9	0	4	5.27	0	0	0	0	130.7	0	12.65	26.04	0	0	0	0	0.44	0	0.01	0.04	0	0	0
P5S2T2	0	100	0	0	0	0	100	0	0	0	0.29525	31	7.179166666666666	13.7375	6.86875	42.66984115625	0.07651098455	0	0	0	0	0.3	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	7.18	0	0	0	0	0	0	0	13.74	0	0	0	0	0	0	0	6.87	0	0	0	0	0	0	0	42.67	0	0	0	0	0	0	0	0.08	0	0	0
P5S2T3	11.11	88.89	0	11.11	0	11.11	77.78	0	0	0	0.29633333333333334	18.38888888888889	5.777777777777778	12.005555555555555	6.002777777777777	34.843452875	0.08124291046666667	0	0.48	0	0.1	0.3	0	0	0	0	32	0	5	18.36	0	0	0	0	6.9	0	1.9	6.17	0	0	0	0	12.2	0	4.45	13.06	0	0	0	0	6.1	0	2.22	6.53	0	0	0	0	29.22	0	3.89	40.07	0	0	0	0	0.18	0	0.01	0.08	0	0	0
P6S1T1	60	40	50	10	20	0	20	0	0	0	0.3284	25.9	5.42	10.32	5.16	26.0807778	0.12114606504	0.47	0.13	0.21	0	0.19	0	0	0	41	12	7	0	14	0	0	0	6.82	4.2	3.9	0	4.05	0	0	0	13.32	8.2	6.15	0	8.05	0	0	0	6.66	4.1	3.07	0	4.03	0	0	0	39.22	13.2	11.31	0	14.43	0	0	0	0.21	0.01	0.04	0	0.04	0	0	0
P6S1T2	100	0	100	0	0	0	0	0	0	0	0.364	23.8	6.32	12.56	6.28	35.7117453	0.19279794996	0.36	0	0	0	0	0	0	0	23.8	0	0	0	0	0	0	0	6.32	0	0	0	0	0	0	0	12.56	0	0	0	0	0	0	0	6.28	0	0	0	0	0	0	0	35.71	0	0	0	0	0	0	0	0.19	0	0	0	0	0	0	0
P6S1T3	100	0	12.5	87.5	0	0	0	0	0	0	0.267	15.125	5.6375	10.7	5.54375	26.2600944375	0.0665866047	0.06	0.3	0	0	0	0	0	0	9	16	0	0	0	0	0	0	3.1	6	0	0	0	0	0	0	3.1	11.79	0	0	0	0	0	0	3.1	5.89	0	0	0	0	0	0	7.55	28.93	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0
P6S2T1	10	90	10	0	0	0	80	10	0	0	0.2596	18.5	4.3	8.525	4.2625	16.397041237499998	0.11851858788	1.11	0	0	0	0.15	0.25	0	0	60	0	0	0	12.25	27	0	0	6	0	0	0	3.98	5.2	0	0	15.4	0	0	0	7.46	10.2	0	0	7.7	0	0	0	3.73	5.1	0	0	46.57	0	0	0	12.12	20.43	0	0	0.97	0	0	0	0.02	0.05	0	0
P6S2T2	16.67	83.33	8.33	8.33	8.33	0	75	0	0	0	0.2865	15.583333333333334	4.508333333333333	9.758333333333333	4.879166666666666	22.637027875	0.1154015709	1.03	0.51	0.21	0	0.19	0	0	0	60	21	11	0	10.56	0	0	0	10	7.5	1.7	0	3.88	0	0	0	19.2	18.2	9.7	0	7.78	0	0	0	9.6	9.1	4.85	0	3.89	0	0	0	72.38	65.04	18.47	0	12.86	0	0	0	0.83	0.21	0.03	0	0.03	0	0	0
P6S2T3	25	75	0	25	0	0	50	25	0	0	0.31325000000000003	25.5	7.1375	13.15	6.575	43.016848875	0.1113508704	0	0.64	0	0	0.23	0.16	0	0	0	47.5	0	0	19.75	15	0	0	0	13.05	0	0	5.72	4.05	0	0	0	22.25	0	0	10.53	9.3	0	0	0	11.12	0	0	5.26	4.65	0	0	0	100.43	0	0	25.34	20.96	0	0	0	0.32	0	0	0.05	0.02	0	0
