Var1	Var2	cor	cors
prop_Pinus	prop_Broadleaf	-0.6036388205712622	0.6036388205712622
prop_Broadleaf	prop_Pinus	-0.6036388205712622	0.6036388205712622
mean_coverage_Pinus	prop_Pinus	0.6498170608149492	0.6498170608149492
total_mean_Height	prop_Arbutus	-0.6013022167885049	0.6013022167885049
mean_coverage_Arbutus	prop_Arbutus	0.6424508280879031	0.6424508280879031
mean_coverage_Quercus	prop_Juniperus	0.6149376311893265	0.6149376311893265
mean_coverage_Juniperus	prop_Juniperus	0.6697093910950922	0.6697093910950922
prop_Arbutus	total_mean_Height	-0.6013022167885049	0.6013022167885049
total_mean_coverage	total_mean_Height	0.6752087764228445	0.6752087764228445
total_mean_Height	total_mean_coverage	0.6752087764228445	0.6752087764228445
prop_Pinus	mean_coverage_Pinus	0.6498170608149492	0.6498170608149492
prop_Arbutus	mean_coverage_Arbutus	0.6424508280879031	0.6424508280879031
prop_Juniperus	mean_coverage_Quercus	0.6149376311893265	0.6149376311893265
prop_Juniperus	mean_coverage_Juniperus	0.6697093910950922	0.6697093910950922
Endophyte	Animal Endosymbiont-Animal Pathogen-Endophyte-Plant Pathogen-Undefined Saprotroph	0.7481292585601031	0.7481292585601031
Animal Pathogen	Animal Endosymbiont-Animal Pathogen-Plant Pathogen-Undefined Saprotroph	0.804874458144968	0.804874458144968
Animal Pathogen-Endophyte-Endosymbiont-Epiphyte-Soil Saprotroph-Undefined Saprotroph	Animal Endosymbiont-Animal Pathogen-Plant Pathogen-Undefined Saprotroph	-0.8668901506338013	0.8668901506338013
Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph	Animal Endosymbiont-Animal Pathogen-Plant Pathogen-Undefined Saprotroph	0.7528891391389126	0.7528891391389126
Dung Saprotroph-Undefined Saprotroph	Animal Endosymbiont-Animal Pathogen-Plant Pathogen-Undefined Saprotroph	0.7082119274679683	0.7082119274679683
Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph	Animal Endosymbiont-Animal Pathogen-Plant Pathogen-Undefined Saprotroph	0.702811247772301	0.702811247772301
Dung Saprotroph-Wood Saprotroph	Animal Endosymbiont-Animal Pathogen-Plant Pathogen-Undefined Saprotroph	0.7862574210695418	0.7862574210695418
Endophyte-Plant Pathogen	Animal Endosymbiont-Animal Pathogen-Plant Pathogen-Undefined Saprotroph	0.8109882032230146	0.8109882032230146
Epiphyte	Animal Endosymbiont-Animal Pathogen-Plant Pathogen-Undefined Saprotroph	0.7651956173484487	0.7651956173484487
Fungal Parasite	Animal Endosymbiont-Animal Pathogen-Plant Pathogen-Undefined Saprotroph	0.6366492909065271	0.6366492909065271
Fungal Parasite-Plant Pathogen-Plant Saprotroph	Animal Endosymbiont-Animal Pathogen-Plant Pathogen-Undefined Saprotroph	0.6771307705001431	0.6771307705001431
Lichenized	Animal Endosymbiont-Animal Pathogen-Plant Pathogen-Undefined Saprotroph	0.9002605451367452	0.9002605451367452
Plant Pathogen	Animal Endosymbiont-Animal Pathogen-Plant Pathogen-Undefined Saprotroph	0.8426034722366921	0.8426034722366921
Plant Pathogen-Undefined Saprotroph	Animal Endosymbiont-Animal Pathogen-Plant Pathogen-Undefined Saprotroph	0.8076549945880982	0.8076549945880982
Undefined Saprotroph	Animal Endosymbiont-Animal Pathogen-Plant Pathogen-Undefined Saprotroph	0.6915124708995677	0.6915124708995677
Wood Saprotroph	Animal Endosymbiont-Animal Pathogen-Plant Pathogen-Undefined Saprotroph	0.6136498897608513	0.6136498897608513
Animal Endosymbiont-Animal Pathogen-Plant Pathogen-Undefined Saprotroph	Animal Pathogen	0.804874458144968	0.804874458144968
Animal Pathogen-Endophyte-Endosymbiont-Epiphyte-Soil Saprotroph-Undefined Saprotroph	Animal Pathogen	-0.8794630753110209	0.8794630753110209
Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph	Animal Pathogen	0.7587236992417519	0.7587236992417519
Animal Pathogen-Fungal Parasite-Undefined Saprotroph	Animal Pathogen	0.6304753577473783	0.6304753577473783
Animal Pathogen-Soil Saprotroph	Animal Pathogen	0.6854190696391844	0.6854190696391844
Dung Saprotroph-Plant Saprotroph-Wood Saprotroph	Animal Pathogen	0.8198048200610317	0.8198048200610317
Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph	Animal Pathogen	0.7320075630534338	0.7320075630534338
Dung Saprotroph-Wood Saprotroph	Animal Pathogen	0.7092045854184376	0.7092045854184376
Ectomycorrhizal	Animal Pathogen	0.7039437962185737	0.7039437962185737
Endophyte	Animal Pathogen	0.6825368348991692	0.6825368348991692
Endophyte-Plant Pathogen	Animal Pathogen	0.7601588825131345	0.7601588825131345
Epiphyte	Animal Pathogen	0.8431801139225874	0.8431801139225874
Fungal Parasite-Plant Pathogen-Plant Saprotroph	Animal Pathogen	0.6373127779593122	0.6373127779593122
Lichenized	Animal Pathogen	0.8866808061092455	0.8866808061092455
Plant Pathogen	Animal Pathogen	0.9002968547846067	0.9002968547846067
Plant Pathogen-Undefined Saprotroph	Animal Pathogen	0.7905921182857979	0.7905921182857979
Plant Pathogen-Wood Saprotroph	Animal Pathogen	0.7965618048902728	0.7965618048902728
Undefined Saprotroph	Animal Pathogen	0.9175685118891072	0.9175685118891072
Wood Saprotroph	Animal Pathogen	0.8398640711832034	0.8398640711832034
Animal Endosymbiont-Animal Pathogen-Plant Pathogen-Undefined Saprotroph	Animal Pathogen-Endophyte-Endosymbiont-Epiphyte-Soil Saprotroph-Undefined Saprotroph	-0.8668901506338013	0.8668901506338013
Animal Pathogen	Animal Pathogen-Endophyte-Endosymbiont-Epiphyte-Soil Saprotroph-Undefined Saprotroph	-0.8794630753110209	0.8794630753110209
Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph	Animal Pathogen-Endophyte-Endosymbiont-Epiphyte-Soil Saprotroph-Undefined Saprotroph	-0.6929283538301383	0.6929283538301383
Animal Pathogen-Fungal Parasite-Undefined Saprotroph	Animal Pathogen-Endophyte-Endosymbiont-Epiphyte-Soil Saprotroph-Undefined Saprotroph	-0.6323289103930462	0.6323289103930462
Dung Saprotroph-Plant Saprotroph-Wood Saprotroph	Animal Pathogen-Endophyte-Endosymbiont-Epiphyte-Soil Saprotroph-Undefined Saprotroph	-0.7015191271040615	0.7015191271040615
