Var1	Var2	cor	cors
Animal Pathogen	pH	-0.613644971793733	0.613644971793733
Endophyte-Plant Pathogen	pH	0.638583554823147	0.638583554823147
Animal Pathogen	Ca	-0.629307508840789	0.629307508840789
Endophyte-Plant Pathogen	Ca	0.681595892781601	0.681595892781601
Endophyte-Plant Pathogen-Undefined Saprotroph	Ca	-0.739593056526303	0.739593056526303
Animal Endosymbiont-Undefined Saprotroph	Mg	-0.601794395491061	0.601794395491061
